Reference, Value, Footprint, Datasheet
"U1","MAX809","w_smd_trans:sot23",""
"Q2","AO3401","w_smd_trans:sot23",""
"J1","CONN_01X02","w_conn_mkds:mkds_1,5-2",""
"J2","CONN_01X02","w_conn_mkds:mkds_1,5-2",""
"D1","D_Schottky","module:sod123",""
"C1","100nF","w_smd_cap:c_0603",""
"R1","2M2","w_smd_resistors:r_0603",""
"R2","2M2","w_smd_resistors:r_0603",""
"Q3","2N7002","w_smd_trans:sot23",""
"R3","2M2","w_smd_resistors:r_0603",""
"R4","2M2","w_smd_resistors:r_0603",""
"C2","100nF","w_smd_cap:c_0603",""
"Q1","2N7002","w_smd_trans:sot23",""
"Q4","AO3401","w_smd_trans:sot23",""
"R5","2M2","w_smd_resistors:r_0603",""
"J3","CONN_01X02","w_conn_mkds:mkds_1,5-2",""
"J4","CONN_01X02","w_conn_mkds:mkds_1,5-2",""
"C3","100nF","w_smd_cap:c_0603",""
"J5","CONN_01X02","w_conn_mkds:mkds_1,5-2",""
"J9","TEST_1P","w_details:testpoint_1mm",""
"J7","TEST_1P","w_details:testpoint_1mm",""
"J6","TEST_1P","w_details:testpoint_1mm",""
"J8","TEST_1P","w_details:testpoint_1mm",""
